round,tile,deal_in_count,round_total,rate_%
5,2p,15993,588678,2.7167653623882666
5,1m,14996,588678,2.5474028246341804
5,9p,14799,588678,2.5139380102534834
5,9s,14699,588678,2.4969507948318097
5,1s,14577,588678,2.476226392017368
5,1p,11206,588678,1.903587360152749
5,9m,11026,588678,1.8730103723937366
5,中,7398,588678,1.2567141968954165
5,發,7198,588678,1.2227397660520691
5,白,7195,588678,1.222230149589419
5,南,7083,588678,1.2032044683171446
5,北,5277,588678,0.8964153578017184
5,西,5271,588678,0.895396124876418
5,東,4867,588678,0.8267677745728564
6,5s,24266,557222,4.3548172900567454
6,5m,23283,557222,4.178406452006561
6,5p,22602,557222,4.056193043347176
6,3s,22109,557222,3.967718431791997
6,3p,22079,557222,3.9623345811902615
6,7m,22048,557222,3.956771268901802
6,3m,22047,557222,3.956591807215078
6,7p,21906,557222,3.931287709386923
6,7s,21780,557222,3.908675536859636
6,8s,20413,557222,3.6633514111072425
6,8m,20350,557222,3.6520453248435993
6,8p,20327,557222,3.6479177060489354
6,6m,20262,557222,3.636252696411843
6,2s,20251,557222,3.6342786178578734
6,6s,20227,557222,3.6299715373764854
6,6p,20200,557222,3.625126071834924
6,2m,20161,557222,3.6181270660526685
6,4m,19867,557222,3.565365330155665
6,4p,19837,557222,3.55998147955393
6,4s,19791,557222,3.551726241964603
6,2p,15124,557222,2.714178550021356
6,9p,13741,557222,2.465983037281371
6,1s,13684,557222,2.455753721138074
6,9s,13669,557222,2.4530617958372067
6,1m,13563,557222,2.43403885704441
6,1p,10589,557222,1.9003198007257431
6,9m,10442,557222,1.8739389327772413
6,中,7176,557222,1.2878170639350206
6,發,7037,557222,1.2628718894803148
6,白,7029,557222,1.2614361959865188
6,南,6767,557222,1.2144172340646995
6,北,5060,557222,0.908076134825976
6,西,4945,557222,0.8874380408526583
6,東,4590,557222,0.8237291420654604
7,5s,22258,498640,4.4637413765442
7,5p,21023,498640,4.216067704155303
7,5m,20937,498640,4.198820792555751
7,7s,19744,498640,3.9595700304829133
7,3p,19717,498640,3.9541553024225893
7,7m,19624,498640,3.935504572437029
7,7p,19599,498640,3.930490935344136
7,3m,19514,498640,3.913444569228301
7,3s,19493,498640,3.909233114070271
7,6p,18734,498640,3.75701909193005
7,6m,18531,498640,3.7163083587357613
7,6s,18506,498640,3.7112947216428687
7,4s,18432,498640,3.6964543558479064
7,4p,18282,498640,3.6663725332905504
7,4m,18193,498640,3.6485239852398523
7,8s,18159,498640,3.6417054387935184
7,2m,18114,498640,3.6326808920263116
7,8m,18104,498640,3.6306754371891543
7,8p,17979,498640,3.6056072517246913
7,2s,17860,498640,3.5817423391625223
7,2p,13732,498640,2.7538905823840847
7,1m,11729,498640,2.352197978501524
7,9p,11603,498640,2.326929247553345
7,9s,11599,498640,2.3261270656184823
7,1s,11491,498640,2.304468153377186
7,1p,8695,498640,1.74374298090807
7,9m,8680,498640,1.7407347986523343
7,中,6799,498640,1.36350874378309
7,發,6679,498640,1.3394432857372052
